numvariable,num_constraints,problem_id,method,numlayer,circuit_depth,latency
3,1,3,Qubit-onehot,9,92,46
3,1,3,bosonicQAOA,9,19,48
3,1,3,HybridCVDV,9,87,3
3,1,4,Qubit-binary,9,80,3
3,1,4,Qubit-onehot,9,84,7
3,1,4,bosonicQAOA,9,92,24
3,1,4,HybridCVDV,9,1,46
3,1,5,Qubit-binary,9,88,60
3,1,5,Qubit-onehot,9,61,36
3,1,5,bosonicQAOA,9,57,6
3,1,5,HybridCVDV,9,54,21
3,1,6,Qubit-binary,9,34,99
3,1,6,Qubit-onehot,9,6,42
3,1,6,bosonicQAOA,9,18,18
3,1,6,HybridCVDV,9,60,37
3,1,7,Qubit-binary,9,7,66
3,1,7,Qubit-onehot,9,79,34
3,1,7,bosonicQAOA,9,7,60
3,1,7,HybridCVDV,9,42,57
3,1,8,Qubit-binary,9,88,3
3,1,8,Qubit-onehot,9,5,76
3,1,8,bosonicQAOA,9,17,50
3,1,8,HybridCVDV,9,6,40
3,1,9,Qubit-binary,9,36,18
3,1,9,Qubit-onehot,9,73,25
3,1,9,bosonicQAOA,9,2,56
3,1,9,HybridCVDV,9,3,29
4,2,0,Qubit-binary,1,76,95
4,2,0,Qubit-onehot,1,62,73
4,2,0,bosonicQAOA,1,3,27
4,2,0,HybridCVDV,1,10,67
4,2,1,Qubit-binary,1,96,4
4,2,1,Qubit-onehot,1,58,83
4,2,1,bosonicQAOA,1,32,99
4,2,1,HybridCVDV,1,22,8
4,2,2,Qubit-binary,1,69,27
4,2,2,Qubit-onehot,1,22,27
4,2,2,bosonicQAOA,1,19,29
4,2,2,HybridCVDV,1,47,41
4,2,3,Qubit-binary,1,91,55
4,2,3,Qubit-onehot,1,43,82
4,2,3,bosonicQAOA,1,39,2
4,2,3,HybridCVDV,1,78,14
4,2,4,Qubit-binary,1,77,88
4,2,4,Qubit-onehot,1,77,4
4,2,4,bosonicQAOA,1,75,18
4,2,4,HybridCVDV,1,51,41
4,2,5,Qubit-binary,1,93,58
4,2,5,Qubit-onehot,1,10,42
4,2,5,bosonicQAOA,1,30,22
4,2,5,HybridCVDV,1,64,34
4,2,6,Qubit-binary,1,42,72
4,2,6,Qubit-onehot,1,93,76
4,2,6,bosonicQAOA,1,66,68
4,2,6,HybridCVDV,1,48,83
4,2,7,Qubit-binary,1,49,5
4,2,7,Qubit-onehot,1,60,64
4,2,7,bosonicQAOA,1,84,36
4,2,7,HybridCVDV,1,29,93
4,2,8,Qubit-binary,1,89,50
4,2,8,Qubit-onehot,1,66,55
4,2,8,bosonicQAOA,1,56,76
4,2,8,HybridCVDV,1,19,97
4,2,9,Qubit-binary,1,9,44
4,2,9,Qubit-onehot,1,78,41
4,2,9,bosonicQAOA,1,74,81
4,2,9,HybridCVDV,1,95,41
4,2,0,Qubit-binary,2,65,10
4,2,0,Qubit-onehot,2,48,91
4,2,0,bosonicQAOA,2,58,84
4,2,0,HybridCVDV,2,38,42
4,2,1,Qubit-binary,2,24,70
4,2,1,Qubit-onehot,2,39,35
4,2,1,bosonicQAOA,2,15,55
4,2,1,HybridCVDV,2,45,71
4,2,2,Qubit-binary,2,3,87
4,2,2,Qubit-onehot,2,79,9
4,2,2,bosonicQAOA,2,9,28
4,2,2,HybridCVDV,2,63,51
4,2,3,Qubit-binary,2,81,49
4,2,3,Qubit-onehot,2,26,51
4,2,3,bosonicQAOA,2,46,94
4,2,3,HybridCVDV,2,6,75
4,2,4,Qubit-binary,2,71,24
4,2,4,Qubit-onehot,2,79,19
4,2,4,bosonicQAOA,2,55,9
4,2,4,HybridCVDV,2,28,53
4,2,5,Qubit-binary,2,30,37
4,2,5,Qubit-onehot,2,71,98
4,2,5,bosonicQAOA,2,71,60
4,2,5,HybridCVDV,2,1,35
4,2,6,Qubit-binary,2,40,60
4,2,6,Qubit-onehot,2,42,48
4,2,6,bosonicQAOA,2,19,12
4,2,6,HybridCVDV,2,36,12
4,2,7,Qubit-binary,2,62,52
4,2,7,Qubit-onehot,2,5,21
4,2,7,bosonicQAOA,2,51,65
4,2,7,HybridCVDV,2,24,61
4,2,8,Qubit-binary,2,54,94
4,2,8,Qubit-onehot,2,10,1
4,2,8,bosonicQAOA,2,59,92
4,2,8,HybridCVDV,2,66,73
4,2,9,Qubit-binary,2,66,12
4,2,9,Qubit-onehot,2,81,60
4,2,9,bosonicQAOA,2,23,2
4,2,9,HybridCVDV,2,13,81
4,2,0,Qubit-binary,3,24,89
4,2,0,Qubit-onehot,3,6,7
4,2,0,bosonicQAOA,3,34,76
4,2,0,HybridCVDV,3,93,94
4,2,1,Qubit-binary,3,58,26
4,2,1,Qubit-onehot,3,1,78
4,2,1,bosonicQAOA,3,29,26
4,2,1,HybridCVDV,3,74,58
4,2,2,Qubit-binary,3,31,61
4,2,2,Qubit-onehot,3,80,71
4,2,2,bosonicQAOA,3,26,13
4,2,2,HybridCVDV,3,66,72
4,2,3,Qubit-binary,3,64,46
4,2,3,Qubit-onehot,3,20,45
4,2,3,bosonicQAOA,3,29,9
4,2,3,HybridCVDV,3,9,68
4,2,4,Qubit-binary,3,73,23
4,2,4,Qubit-onehot,3,44,25
4,2,4,bosonicQAOA,3,38,86
4,2,4,HybridCVDV,3,15,14
4,2,5,Qubit-binary,3,62,73
4,2,5,Qubit-onehot,3,75,96
4,2,5,bosonicQAOA,3,40,60
4,2,5,HybridCVDV,3,12,10
4,2,6,Qubit-binary,3,53,5
4,2,6,Qubit-onehot,3,77,3
4,2,6,bosonicQAOA,3,77,3
4,2,6,HybridCVDV,3,43,34
4,2,7,Qubit-binary,3,17,68
4,2,7,Qubit-onehot,3,1,15
4,2,7,bosonicQAOA,3,96,96
4,2,7,HybridCVDV,3,83,81
4,2,8,Qubit-binary,3,24,8
4,2,8,Qubit-onehot,3,73,38
4,2,8,bosonicQAOA,3,24,99
4,2,8,HybridCVDV,3,88,25
4,2,9,Qubit-binary,3,35,78
4,2,9,Qubit-onehot,3,90,2
4,2,9,bosonicQAOA,3,38,61
4,2,9,HybridCVDV,3,12,76
4,2,0,Qubit-binary,4,17,73
4,2,0,Qubit-onehot,4,57,66
4,2,0,bosonicQAOA,4,18,35
4,2,0,HybridCVDV,4,47,32
4,2,1,Qubit-binary,4,25,62
4,2,1,Qubit-onehot,4,57,29
4,2,1,bosonicQAOA,4,85,47
4,2,1,HybridCVDV,4,54,49
4,2,2,Qubit-binary,4,39,1
4,2,2,Qubit-onehot,4,30,39
4,2,2,bosonicQAOA,4,46,34
4,2,2,HybridCVDV,4,17,71
4,2,3,Qubit-binary,4,8,81
4,2,3,Qubit-onehot,4,29,79
4,2,3,bosonicQAOA,4,30,34
4,2,3,HybridCVDV,4,69,65
4,2,4,Qubit-binary,4,97,31
4,2,4,Qubit-onehot,4,13,77
4,2,4,bosonicQAOA,4,17,50
4,2,4,HybridCVDV,4,36,7
4,2,5,Qubit-binary,4,73,5
4,2,5,Qubit-onehot,4,52,55
4,2,5,bosonicQAOA,4,24,42
4,2,5,HybridCVDV,4,66,84
4,2,6,Qubit-binary,4,45,56
4,2,6,Qubit-onehot,4,82,75
4,2,6,bosonicQAOA,4,66,79
4,2,6,HybridCVDV,4,61,93
4,2,7,Qubit-binary,4,83,61
4,2,7,Qubit-onehot,4,60,62
4,2,7,bosonicQAOA,4,91,21
4,2,7,HybridCVDV,4,69,54
4,2,8,Qubit-binary,4,88,29
4,2,8,Qubit-onehot,4,52,47
4,2,8,bosonicQAOA,4,23,43
4,2,8,HybridCVDV,4,87,1
4,2,9,Qubit-binary,4,1,75
4,2,9,Qubit-onehot,4,10,99
4,2,9,bosonicQAOA,4,72,80
4,2,9,HybridCVDV,4,80,18
4,2,0,Qubit-binary,5,64,21
4,2,0,Qubit-onehot,5,38,24
4,2,0,bosonicQAOA,5,64,19
4,2,0,HybridCVDV,5,97,76
4,2,1,Qubit-binary,5,74,5
4,2,1,Qubit-onehot,5,87,77
4,2,1,bosonicQAOA,5,70,18
4,2,1,HybridCVDV,5,98,60
4,2,2,Qubit-binary,5,10,40
4,2,2,Qubit-onehot,5,70,39
4,2,2,bosonicQAOA,5,96,38
4,2,2,HybridCVDV,5,92,90
4,2,3,Qubit-binary,5,38,59
4,2,3,Qubit-onehot,5,99,50
4,2,3,bosonicQAOA,5,41,39
4,2,3,HybridCVDV,5,37,55
4,2,4,Qubit-binary,5,84,95
4,2,4,Qubit-onehot,5,61,86
4,2,4,bosonicQAOA,5,34,36
4,2,4,HybridCVDV,5,5,73
4,2,5,Qubit-binary,5,58,96
4,2,5,Qubit-onehot,5,50,93
4,2,5,bosonicQAOA,5,97,2
4,2,5,HybridCVDV,5,17,46
4,2,6,Qubit-binary,5,39,71
4,2,6,Qubit-onehot,5,14,22
4,2,6,bosonicQAOA,5,25,37
4,2,6,HybridCVDV,5,17,8
4,2,7,Qubit-binary,5,94,34
4,2,7,Qubit-onehot,5,34,40
4,2,7,bosonicQAOA,5,7,24
4,2,7,HybridCVDV,5,24,58
4,2,8,Qubit-binary,5,74,86
4,2,8,Qubit-onehot,5,85,86
4,2,8,bosonicQAOA,5,88,97
4,2,8,HybridCVDV,5,79,54
4,2,9,Qubit-binary,5,75,83
4,2,9,Qubit-onehot,5,18,85
4,2,9,bosonicQAOA,5,82,7
4,2,9,HybridCVDV,5,23,99
4,2,0,Qubit-binary,6,10,4
4,2,0,Qubit-onehot,6,55,49
4,2,0,bosonicQAOA,6,65,44
4,2,0,HybridCVDV,6,59,85
4,2,1,Qubit-binary,6,75,3
4,2,1,Qubit-onehot,6,25,18
4,2,1,bosonicQAOA,6,74,55
4,2,1,HybridCVDV,6,25,63
4,2,2,Qubit-binary,6,42,85
4,2,2,Qubit-onehot,6,75,1
4,2,2,bosonicQAOA,6,54,72
4,2,2,HybridCVDV,6,14,77
4,2,3,Qubit-binary,6,90,64
4,2,3,Qubit-onehot,6,17,14
4,2,3,bosonicQAOA,6,31,64
4,2,3,HybridCVDV,6,40,47
4,2,4,Qubit-binary,6,76,32
4,2,4,Qubit-onehot,6,67,49
4,2,4,bosonicQAOA,6,57,73
4,2,4,HybridCVDV,6,70,26
4,2,5,Qubit-binary,6,84,94
4,2,5,Qubit-onehot,6,61,34
4,2,5,bosonicQAOA,6,59,52
4,2,5,HybridCVDV,6,26,75
4,2,6,Qubit-binary,6,59,23
4,2,6,Qubit-onehot,6,38,62
4,2,6,bosonicQAOA,6,16,16
4,2,6,HybridCVDV,6,18,33
4,2,7,Qubit-binary,6,99,75
4,2,7,Qubit-onehot,6,56,19
4,2,7,bosonicQAOA,6,44,8
4,2,7,HybridCVDV,6,98,20
4,2,8,Qubit-binary,6,28,14
4,2,8,Qubit-onehot,6,53,44
4,2,8,bosonicQAOA,6,50,28
4,2,8,HybridCVDV,6,72,98
4,2,9,Qubit-binary,6,10,43
4,2,9,Qubit-onehot,6,12,69
4,2,9,bosonicQAOA,6,29,68
4,2,9,HybridCVDV,6,73,65
4,2,0,Qubit-binary,7,6,5
4,2,0,Qubit-onehot,7,30,80
4,2,0,bosonicQAOA,7,10,51
4,2,0,HybridCVDV,7,85,3
4,2,1,Qubit-binary,7,91,75
4,2,1,Qubit-onehot,7,44,25
4,2,1,bosonicQAOA,7,67,74
4,2,1,HybridCVDV,7,26,10
4,2,2,Qubit-binary,7,80,64
4,2,2,Qubit-onehot,7,87,36
4,2,2,bosonicQAOA,7,44,14
4,2,2,HybridCVDV,7,67,36
4,2,3,Qubit-binary,7,76,60
4,2,3,Qubit-onehot,7,54,93
4,2,3,bosonicQAOA,7,40,11
4,2,3,HybridCVDV,7,3,64
4,2,4,Qubit-binary,7,83,87
4,2,4,Qubit-onehot,7,5,10
4,2,4,bosonicQAOA,7,75,50
4,2,4,HybridCVDV,7,70,17
4,2,5,Qubit-binary,7,30,43
4,2,5,Qubit-onehot,7,6,30
4,2,5,bosonicQAOA,7,81,19
4,2,5,HybridCVDV,7,52,45
4,2,6,Qubit-binary,7,7,6
4,2,6,Qubit-onehot,7,75,71
4,2,6,bosonicQAOA,7,64,7
4,2,6,HybridCVDV,7,28,58
4,2,7,Qubit-binary,7,43,93
4,2,7,Qubit-onehot,7,78,16
4,2,7,bosonicQAOA,7,94,70
4,2,7,HybridCVDV,7,90,34
4,2,8,Qubit-binary,7,18,14
4,2,8,Qubit-onehot,7,99,56
4,2,8,bosonicQAOA,7,59,77
4,2,8,HybridCVDV,7,83,21
4,2,9,Qubit-binary,7,90,69
4,2,9,Qubit-onehot,7,28,73
4,2,9,bosonicQAOA,7,72,74
4,2,9,HybridCVDV,7,12,17
4,2,0,Qubit-binary,8,47,35
4,2,0,Qubit-onehot,8,97,45
4,2,0,bosonicQAOA,8,25,79
4,2,0,HybridCVDV,8,85,47
4,2,1,Qubit-binary,8,45,65
4,2,1,Qubit-onehot,8,71,4
4,2,1,bosonicQAOA,8,90,77
4,2,1,HybridCVDV,8,21,76
4,2,2,Qubit-binary,8,12,42
4,2,2,Qubit-onehot,8,80,66
4,2,2,bosonicQAOA,8,39,7
4,2,2,HybridCVDV,8,66,42
4,2,3,Qubit-binary,8,28,53
4,2,3,Qubit-onehot,8,97,57
4,2,3,bosonicQAOA,8,27,22
4,2,3,HybridCVDV,8,89,18
4,2,4,Qubit-binary,8,89,50
4,2,4,Qubit-onehot,8,99,90
4,2,4,bosonicQAOA,8,15,52
4,2,4,HybridCVDV,8,55,61
4,2,5,Qubit-binary,8,82,23
4,2,5,Qubit-onehot,8,51,49
4,2,5,bosonicQAOA,8,65,26
4,2,5,HybridCVDV,8,3,58
4,2,6,Qubit-binary,8,2,4
4,2,6,Qubit-onehot,8,76,62
4,2,6,bosonicQAOA,8,79,17
4,2,6,HybridCVDV,8,18,47
4,2,7,Qubit-binary,8,44,62
4,2,7,Qubit-onehot,8,64,75
4,2,7,bosonicQAOA,8,36,63
4,2,7,HybridCVDV,8,76,33
4,2,8,Qubit-binary,8,70,5
4,2,8,Qubit-onehot,8,58,39
4,2,8,bosonicQAOA,8,82,59
4,2,8,HybridCVDV,8,56,4
4,2,9,Qubit-binary,8,70,95
4,2,9,Qubit-onehot,8,61,9
4,2,9,bosonicQAOA,8,96,11
